,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score
0,1,290,430,520,420,50,,,,110,50,RIGHT,RIGHT,0
1,3,290,420,510,420,50,,,,120,50,RIGHT,RIGHT,0
2,5,290,410,500,420,50,,,,130,50,RIGHT,RIGHT,0
3,7,290,400,490,420,50,,,,140,50,RIGHT,RIGHT,0
4,9,400,-300,40,490,140,,,,140,40,RIGHT,UP,0
5,11,400,-310,30,490,140,,,,140,30,UP,UP,0
6,13,400,-320,20,490,140,,,,140,20,UP,UP,0
7,15,400,-330,10,490,140,,,,140,10,UP,UP,0
8,17,400,-340,0,490,140,,,,140,0,UP,UP,0
9,19,400,-350,-10,490,140,,,,140,-10,UP,UP,0
